Lastname,Firstname,Authorname,JoinedAsBuilder,Affiliation,ORCID
Percival,Will,W.J.~Percival,True,"Waterloo Centre for Astrophysics, University of Waterloo, 200 University Ave W, Waterloo, ON N2L 3G1, Canada",0000-0002-0644-5727

Poppett,Claire,C.~Poppett,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",
Poppett,Claire,C.~Poppett,True,"Space Sciences Laboratory, University of California, Berkeley, 7 Gauss Way, Berkeley, CA  94720, USA",
Poppett,Claire,C.~Poppett,True,"University of California, Berkeley, 110 Sproul Hall \#5800 Berkeley, CA 94720, USA",

Raichoor,Anand,A.~Raichoor,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0001-5999-7923

Ross,Ashley J.,A.~J.~Ross,True,"Center for Cosmology and AstroParticle Physics, The Ohio State University, 191 West Woodruff Avenue, Columbus, OH 43210, USA",
Ross,Ashley J.,A.~J.~Ross,True,"Department of Astronomy, The Ohio State University, 4055 McPherson Laboratory, 140 W 18th Avenue, Columbus, OH 43210, USA",
Ross,Ashley J.,A.~J.~Ross,True,"None",

Schlafly,Edward,E.~Schlafly,True,"Lawrence Livermore National Laboratory, P.O. Box 808 L-211, Livermore, CA 94551, USA",

Schlegel,David,D.~Schlegel,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",

Weaver,Benjamin Alan,B.~A.~Weaver,True,"NSF's National Optical-Infrared Astronomy Research Laboratory, 950 N. Cherry Avenue, Tucson, AZ 85719, USA",

Yèche,Christophe,Christophe~Yèche,True,"IRFU, CEA, Universit\'{e} Paris-Saclay, F-91191 Gif-sur-Yvette, France",

Zhou,Zhimin,Zhimin~Zhou,True,"National Astronomical Observatories, Chinese Academy of Sciences, A20 Datun Rd., Chaoyang District, Beijing, 100012, P.R. China",0000-0002-4135-0977
