mask_mag,mask_radius
-2.0,3176.5700799999995
-1.8181818181818181,2989.617573118437
-1.6363636363636362,2813.667889706552
-1.4545454545454546,2648.0734742630893
-1.2727272727272727,2492.224882243343
-1.0909090909090908,2345.5485370931046
-0.9090909090909092,2207.504619289177
-0.7272727272727273,2077.5850796173995
-0.5454545454545454,1955.3117693763727
-0.36363636363636354,1840.2346806253706
-0.18181818181818166,1731.9302899999627
0.0,1630.0
0.18181818181818166,1534.0686720133854
0.36363636363636376,1443.783245676633
0.5454545454545454,1358.8114394909985
0.7272727272727275,1278.8405279119952
0.9090909090909092,1203.5761904115652
1.0909090909090908,1132.7414282770549
1.272727272727273,1066.075545160446
1.4545454545454546,1003.3331876259087
1.6363636363636367,944.2834421645608
1.8181818181818183,888.7089853531389
2.0,836.4052840288668
2.1818181818181817,787.1798425368971
2.3636363636363633,740.8514942799286
2.545454545454546,697.2497349626638
2.7272727272727275,656.2140950772139
2.909090909090909,617.5935493199796
3.090909090909091,581.2459607664628
3.2727272727272725,547.0375577583754
3.454545454545455,514.8424415778137
3.6363636363636367,484.5421230965679
3.8181818181818183,456.0250866952749
4.0,429.1863798474905
4.181818181818182,403.9272268582037
4.363636363636364,380.1546653352232
4.545454545454546,357.7812040555208
4.7272727272727275,336.7245009673637
4.909090909090909,316.90706014317396
5.090909090909091,298.2559465677944
5.272727272727273,280.7025177124856
5.454545454545455,264.1821709067525
5.636363636363637,248.63410557824236
5.818181818181818,234.00109948567493
6.0,220.22929812126466
6.181818181818182,207.2680165075635
6.363636363636363,195.06955265926769
6.545454545454545,183.589012023465
6.727272727272727,172.78414225220024
6.90909090909091,162.61517769926658
7.090909090909092,153.0446930689169
7.272727272727273,144.03746567787087
7.454545454545455,135.5603458236963
7.636363636363637,127.58213478247427
7.818181818181818,120.07346998673808
8.0,113.00671696110085
8.181818181818182,106.35586761785797
8.363636363636363,100.09644453825693
8.545454545454545,94.20541088715662
8.727272727272728,88.66108562953103
8.90909090909091,83.44306373678512
9.090909090909092,78.53214108921362
9.272727272727273,73.9102437982195
9.454545454545455,69.56036168817187
9.636363636363637,65.46648569309482
9.818181818181818,61.61354893778483
10.0,57.98737128651492
10.181818181818182,54.57460715524605
10.363636363636363,51.36269639527638
10.545454545454545,48.3398180675634
10.727272727272728,45.494846937592385
10.90909090909091,42.81731253067766
11.090909090909092,40.29736059700538
11.272727272727273,37.925716844596664
11.454545454545455,35.69365280671539
11.636363636363637,33.592953718101064
11.818181818181818,31.615888281800252
12.0,29.755180215328142
12.181818181818182,28.003981471440124
12.363636363636363,26.35584703495681
12.545454545454547,24.804711202885944
12.727272727272728,23.34486526054404
12.90909090909091,21.97093647151792
13.090909090909092,20.6778683041423
13.272727272727273,19.46090182171979
13.454545454545455,18.315558167992975
13.636363636363637,17.23762208340914
13.818181818181818,16.223126391511695
14.0,15.268337398362977
14.181818181818183,14.369741151263183
14.363636363636363,13.524030506192895
14.545454545454547,12.72809295638272
14.727272727272727,11.978999177215323
14.90909090909091,11.273992245300697
15.09090909090909,10.610477492047641
15.272727272727273,9.98601295438861
15.454545454545453,9.398300387513746
15.636363636363637,8.845176806537477
15.81818181818182,8.324606525968429
16.0,7.83467366768488
