# zmin zmax surface_density comoving_density
0.00 0.10 0.77 0.0003025
0.10 0.20 1.60 0.0000973
0.20 0.30 7.24 0.0001794
0.30 0.40 33.16 0.0004688
0.40 0.50 53.36 0.0005105
0.50 0.60 73.70 0.0005285
0.60 0.70 89.87 0.0005170
0.70 0.80 104.68 0.0005068
0.80 0.90 111.63 0.0004712
0.90 1.00 71.54 0.0002704
1.00 1.10 31.77 0.0001098
1.10 1.20 11.44 0.0000368
1.20 1.30 3.08 0.0000093
1.30 1.40 0.79 0.0000023
