,stellar_mass_bin_start,stellar_mass_bin_end,mag_lim_pop,selected_pop
0,6.336861,6.450121,1.4589885610433518e-06,0.0
1,6.450121,6.563381,4.376965683130056e-06,0.0
2,6.563381,6.676641,1.0212919927303463e-05,0.0
3,6.676641,6.789901,1.5076215130781303e-05,0.0
4,6.789901,6.903161,2.4316476017389198e-05,0.0
5,6.903161,7.016421,4.376965683130056e-05,0.0
6,7.016421,7.1296806,7.100410997077646e-05,4.863295203477839e-07
7,7.1296806,7.2429404,9.629324502886122e-05,4.863295203477839e-07
8,7.2429404,7.3562007,0.00011331477824103366,0.0
9,7.3562007,7.4694605,0.00013082264097355389,4.863295203477839e-07
10,7.4694605,7.5827203,0.0001429808789822485,9.726590406955679e-07
11,7.5827203,7.6959805,0.00012790466385146718,9.726590406955679e-07
12,7.6959805,7.8092403,0.00018285989965076676,1.4589885610433518e-06
13,7.8092403,7.9225,0.00028255745132206247,2.4316476017389197e-06
14,7.9225,8.03576,0.00045325911296413465,2.4316476017389197e-06
15,8.03576,8.14902,0.0007187950310740247,2.4316476017389197e-06
16,8.14902,8.26228,0.0008296781617133194,5.835954244173407e-06
17,8.26228,8.37554,0.0008539946377307087,9.726590406955679e-06
18,8.37554,8.4888,0.0010845148303755582,1.361722656973795e-05
19,8.4888,8.60206,0.0026821073047180286,1.8966851293563573e-05
20,8.60206,8.71532,0.0058432491869786244,2.091216937495471e-05
21,8.71532,8.82858,0.008320125434109888,4.717396347373504e-05
22,8.82858,8.941839,0.011927231486529402,8.364867749981884e-05
23,8.941839,9.0550995,0.014232919742498245,0.00012109605056659821
24,9.0550995,9.16836,0.021925680095359494,0.00020425839854606927
25,9.16836,9.281619,0.03591105811200072,0.0002606726229064122
26,9.281619,9.394879,0.05587877555844003,0.00035404789081318675
27,9.394879,9.50814,0.08314484011673853,0.00047028064617630707
28,9.50814,9.621399,0.11141371614599417,0.0005009194059582175
29,9.621399,9.734659,0.15157237628871245,0.0005349624723825624
30,9.734659,9.847919,0.22392167371277086,0.0006448729439811616
31,9.847919,9.961179,0.34644218344446776,0.0007470021432541961
32,9.961179,10.074439,0.4935490820773468,0.0008073070037773214
33,10.074439,10.187699,0.6901910740052495,0.0010256689584134764
34,10.187699,10.300959,0.8902038158386826,0.0014463439935143096
35,10.300959,10.414219,0.9800162336793892,0.0019910330563038276
36,10.414219,10.527479,1.0,0.0025653882198345603
37,10.527479,10.6407385,0.9804738697580365,0.0031212628615920777
38,10.6407385,10.753999,0.8850978422045511,0.0042913716875488455
39,10.753999,10.867258,0.7804684228674086,0.007413607208181619
40,10.867258,10.980518,0.6684336639239303,0.013521905983749785
41,10.980518,11.093779,0.5494779495763826,0.025666526765874647
42,11.093779,11.207038,0.42250606574494254,0.03481292605505542
43,11.207038,11.320298,0.2705543524303588,0.045257825163564774
44,11.320298,11.433558,0.14874582911645112,0.07230504143770679
45,11.433558,11.546818,0.07629051185695687,0.04551023018462528
46,11.546818,11.660078,0.03686766827852481,0.022863809740110368
47,11.660078,11.773338,0.014865148118950365,0.009707623555662116
48,11.773338,11.886598,0.0052883472042618025,0.00357938526975969
49,11.886598,11.999858,0.0016899950832085493,0.0011696224964364203
