,stellar_mass_bin_start,stellar_mass_bin_end,mag_lim_pop,selected_pop
0,6.4076495,6.5194964,5.052632642659503e-06,0.0
1,6.5194964,6.6313434,3.15789540166219e-05,0.0
2,6.6313434,6.7431903,6.50526452742411e-05,0.0
3,6.7431903,6.8550377,9.221054572853594e-05,0.0
4,6.8550377,6.9668846,0.0001181052880221659,0.0
5,6.9668846,7.0787315,0.0001610526654847717,6.315790803324379e-07
6,7.0787315,7.1905785,0.00015726319100277706,1.894737240997314e-06
7,7.1905785,7.3024254,0.00017115793077009068,1.2631581606648759e-06
8,7.3024254,7.4142723,0.00020778951742937208,1.894737240997314e-06
9,7.4142723,7.526119,0.0002526316321329752,2.5263163213297517e-06
10,7.526119,7.6379666,0.00030315795855957023,3.789474481994628e-06
11,7.6379666,7.7498136,0.0003858948180831196,7.578948963989256e-06
12,7.7498136,7.8616605,0.0005286316902382506,2.5263163213297517e-06
13,7.8616605,7.9735074,0.0006840001440000304,5.052632642659503e-06
14,7.9735074,8.085355,0.0009252633526870216,3.789474481994628e-06
15,8.085355,8.197202,0.001266316056066538,1.0105265285319007e-05
16,8.197202,8.309049,0.001616842445651041,2.5894742293629957e-05
17,8.309049,8.420896,0.002033053059590118,2.842105861495971e-05
18,8.420896,8.5327425,0.002527579479490417,5.1789484587259915e-05
19,8.5327425,8.644589,0.003049895378925343,8.6526334005544e-05
20,8.644589,8.756436,0.003910737665418456,0.00010294739009418738
21,8.756436,8.868283,0.0048555799695957835,0.00015221055836011756
22,8.868283,8.98013,0.006011369686604145,0.00021852636179502355
23,8.98013,9.091977,0.007988212208044675,0.00025831584385596715
24,9.091977,9.203824,0.01110063391592293,0.0003574737594681599
25,9.203824,9.315671,0.014447371462604518,0.0004471579888753661
26,9.315671,9.427518,0.01594295072483173,0.0005103158969086099
27,9.427518,9.539365,0.01689347724073205,0.0006006317053961485
28,9.539365,9.651213,0.01890884608607286,0.0008343159651191506
29,9.651213,9.76306,0.022456425780300163,0.0010124212657728982
30,9.76306,9.874907,0.02655663716981835,0.0012871581657175086
31,9.874907,9.986753,0.029976637889818504,0.0015347371652078242
32,9.986753,10.0986,0.03583011280633954,0.001864421445141357
33,10.0986,10.210447,0.0440633776975532,0.0021435793986482946
34,10.210447,10.322294,0.05996780209848465,0.0023109478549363906
35,10.322294,10.434141,0.08719517625161605,0.002727158468875467
36,10.434141,10.545988,0.1260612896971136,0.003126316447645568
37,10.545988,10.657835,0.19542951482726628,0.004560000960000202
38,10.657835,10.769682,0.3200988042313272,0.008667159719402046
39,10.769682,10.881529,0.5714331729332995,0.01993010945897041
40,10.881529,10.993376,0.9277631426869775,0.05026169479193575
41,10.993376,11.105223,1.0,0.10495644314872488
42,11.105223,11.217071,0.7639650029400006,0.17302298379431238
43,11.217071,11.3289175,0.5036678955090307,0.26982953049042746
44,11.3289175,11.440764,0.3048202746990052,0.2777545847904389
45,11.440764,11.552611,0.16838593018651163,0.16561077170753088
46,11.552611,11.664458,0.08100759600159915,0.08075180647406452
47,11.664458,11.776305,0.03291095429704301,0.032896427978195364
48,11.776305,11.888152,0.01119663393613346,0.011194739198892464
49,11.888152,11.999999,0.003269053319800699,0.003269053319800699
