,stellar_mass_bin_start,stellar_mass_bin_end,mag_lim_pop,selected_pop
0,6.319122,6.4327393,1.7399577468660752e-06,0.0
1,6.4327393,6.5463567,2.4359408456125053e-06,0.0
2,6.5463567,6.659974,8.003805635583945e-06,0.0
3,6.659974,6.7735915,1.1831712678689311e-05,0.0
4,6.7735915,6.887209,2.3315433808005407e-05,0.0
5,6.887209,7.0008264,4.036701972729294e-05,0.0
6,7.0008264,7.114444,4.4542918319771525e-05,3.4799154937321504e-07
7,7.114444,7.228061,6.02025380415662e-05,0.0
8,7.228061,7.341678,5.741860564658048e-05,3.4799154937321504e-07
9,7.341678,7.4552956,7.86460901583466e-05,3.4799154937321504e-07
10,7.4552956,7.568913,8.838985354079662e-05,1.0439746481196451e-06
11,7.568913,7.6825304,0.00010787738030569665,1.3919661974928602e-06
12,7.6825304,7.796148,0.00011031332115130916,1.0439746481196451e-06
13,7.796148,7.9097652,0.000139196619749286,1.7399577468660752e-06
14,7.9097652,8.023383,0.0001833915465196843,3.4799154937321504e-06
15,8.023383,8.137,0.0002341983127281737,3.1319239443589354e-06
16,8.137,8.250617,0.0003594752705025311,8.351797184957161e-06
17,8.250617,8.364235,0.000545302757867828,1.1831712678689311e-05
18,8.364235,8.477852,0.0008877264424510715,2.0531501413019687e-05
19,8.477852,8.59147,0.0018318275159006038,2.296744225863219e-05
20,8.59147,8.705087,0.00414666730233123,3.305919719045543e-05
21,8.705087,8.818705,0.0058821011590554535,4.62828760666376e-05
22,8.818705,8.932322,0.0059388237816032875,5.915856339344655e-05
23,8.932322,9.045939,0.006261759939421631,8.143002255333231e-05
24,9.045939,9.159556,0.008392512196233827,9.360972678139484e-05
25,9.159556,9.273174,0.01356679854386416,0.00011970909298438597
26,9.273174,9.386791,0.02197253441897417,0.00012666892397185026
27,9.386791,9.500409,0.03498637439088429,0.0001732997915878611
28,9.500409,9.614026,0.054135305378244195,0.00023454630427754693
29,9.614026,9.727644,0.0888384146479387,0.0002964888000659792
30,9.727644,9.841261,0.150993533273038,0.0004868401775731278
31,9.841261,9.954879,0.250221235627514,0.0007032909212832675
32,9.954879,10.068496,0.36736632687611814,0.0008449234818781661
33,10.068496,10.182113,0.4923541036729464,0.0010888655579887898
34,10.182113,10.295731,0.665809099491828,0.0015329027749890122
35,10.295731,10.409348,0.8508052350456722,0.002053498132851342
36,10.409348,10.522965,0.97721455732169,0.0025525180146525324
37,10.522965,10.636582,1.0,0.00314653958943261
38,10.636582,10.7502,0.9413251448601823,0.0045948804179239315
39,10.7502,10.863817,0.852132822806531,0.008434619173707986
40,10.863817,10.977435,0.7051401483766369,0.01659397703186176
41,10.977435,11.091052,0.5334745251046323,0.030315283823647628
42,11.091052,11.20467,0.35953930094761577,0.04599717500460219
43,11.20467,11.318287,0.2153848455944096,0.06627220664573381
44,11.318287,11.431905,0.12044996699300155,0.10089040597738125
45,11.431905,11.545522,0.0638442696057569,0.06145878753480351
46,11.545522,11.65914,0.030736353598389218,0.030201838578551958
47,11.65914,11.772757,0.012788689439465652,0.01268881586479554
48,11.772757,11.886374,0.004586876612288347,0.0045545133981966385
49,11.886374,11.999991,0.0014991475946998104,0.0014866198989223745
