z,N
-0.05,0.17676038653561774
0.0,0.1652281135105192
0.05,1.1107472643313159
0.10000000000000002,2.877271403908044
0.15000000000000002,5.333610001975599
0.2,8.355836336661387
0.25000000000000006,11.829085110911015
0.30000000000000004,15.648752138726273
0.35000000000000003,19.721147580395748
0.4,23.963679292059293
0.45,28.304655131099473
0.5,32.68279495855328
0.55,37.04653749812154
0.6,41.35321694976149
0.65,45.568171689853095
0.7,49.663834321202295
0.75,53.618839991106846
0.8,57.41717899702693
0.85,61.047410579401564
0.9,64.50194751642226
0.95,67.77641556718093
1.0,70.86908774419719
1.05,73.78039058212931
1.1,76.51247775354365
1.1500000000000001,79.0688653342716
1.2,81.45412254028335
1.25,83.67361168099548
1.3,85.73327127077985
1.35,87.63943661052167
1.4000000000000001,89.39869262075102
1.45,91.01775422320478
