,stellar_mass_bin_center,completeness
0,6.407649517059326,0.22509589349524492
1,6.521779099289252,0.22509612909926077
2,6.635908681519178,0.22509746419800009
3,6.750038263749103,0.2251003176974223
4,6.864167845979029,0.22510421846963882
5,6.978297428208954,0.2251096117062441
6,7.09242701043888,0.22511619803247845
7,7.2065565926688055,0.22512257831141724
8,7.320686174898731,0.22512953506490305
9,7.434815757128657,0.22513823224412857
10,7.548945339358583,0.22514870256265238
11,7.663074921588509,0.22516145581581212
12,7.777204503818434,0.22517806779082855
13,7.89133408604836,0.22520127608467547
14,8.005463668278285,0.22523113810752848
15,8.119593250508212,0.22527282461939568
16,8.233722832738136,0.22533026766609374
17,8.347852414968063,0.22539818559598887
18,8.461981997197988,0.22548548542017458
19,8.576111579427913,0.2255884304096681
20,8.69024116165784,0.22571293799061398
21,8.804370743887764,0.22587327842215163
22,8.918500326117691,0.2260650061050803
23,9.032629908347616,0.22631508497338929
24,9.146759490577542,0.22665063051789602
25,9.260889072807467,0.2271288631043434
26,9.375018655037394,0.22770932872264604
27,9.489148237267319,0.2283206935089456
28,9.603277819497244,0.22896070447476655
29,9.71740740172717,0.22969557187112624
30,9.831536983957095,0.2305832091762552
31,9.945666566187022,0.23159158398833601
32,10.059796148416947,0.23276237747279965
33,10.173925730646873,0.23422321013762373
34,10.288055312876798,0.23627769341972202
35,10.402184895106725,0.23950703179208685
36,10.51631447733665,0.2445296066028374
37,10.630444059566575,0.25279328586467775
38,10.744573641796501,0.2675142136618974
39,10.858703224026428,0.29807685375870197
40,10.972832806256353,0.3698983513643294
41,11.086962388486278,0.512978465157601
42,11.201091970716202,0.7271754986061494
43,11.315221552946129,0.9362611605302144
44,11.429351135176056,0.9880611589968539
45,11.54348071740598,0.9975861864030977
46,11.657610299635905,0.9995510998054766
47,11.771739881865832,0.999875868917577
48,11.885869464095759,1.0
