# zmin zmax surface_density comoving_density
0.00 0.10 0.7720839 0.0003025
0.10 0.20 1.597205 0.0000973
0.20 0.30 7.243696 0.0001794
0.30 0.40 33.16375 0.0004688
0.40 0.50 53.36426 0.0005105
0.50 0.60 73.70219 0.0005285
0.60 0.70 89.87326 0.0005170
0.70 0.80 104.6774 0.0005068
0.80 0.90 111.6301 0.0004712
0.90 1.00 71.54233 0.0002704
1.00 1.10 31.76969 0.0001098
1.10 1.20 11.44408 0.0000368
1.20 1.30 3.079347 0.0000093
1.30 1.40 0.79367 0.0000023
