# zmin zmax surface_density comoving_density
0.00 0.10 299.7553 0.1174613
0.10 0.20 544.8592 0.0331791
0.20 0.30 892.6416 0.0221116
0.30 0.40 1568.747 0.0221763
0.40 0.50 967.1664 0.0092519
0.50 0.60 707.9857 0.0050767
0.60 0.70 679.4179 0.0039082
0.70 0.80 372.21 0.0018019
0.80 0.90 322.9408 0.0013630
0.90 1.00 150.7057 0.0005697
1.00 1.10 34.36422 0.0001188
1.10 1.20 23.59952 0.0000758
1.20 1.30 16.56107 0.0000501
1.30 1.40 2.070134 0.0000060
