# zmin zmax N_z_800 N_z_600
0.20 0.25 4.3 3.4
0.25 0.30 10.1 7.4
0.30 0.35 22.5 15.5
0.35 0.40 23.3 15.1
0.40 0.45 34.7 23.6
0.45 0.50 31.8 20.8
0.50 0.55 43.3 27.9
0.55 0.60 48 33.2
0.60 0.65 51 33.7
0.65 0.70 58.3 40.8
0.70 0.75 66.6 44.9
0.75 0.80 64.9 44.2
0.80 0.85 70.9 52.6
0.85 0.90 70.7 56.7
0.90 0.95 66.2 53.4
0.95 1.00 53.1 46.1
1.00 1.05 28.4 24.8
1.05 1.10 22 19.7
1.10 1.15 13 11.4
1.15 1.20 7.7 6.6
1.20 1.25 4.7 4.4
1.25 1.30 2.3 2.2
1.30 1.35 1 0.5
